"table_name","trigger_name","action_timing","event_manipulation"
"staff","sync_teachers_trigger","AFTER","INSERT"
"staff","sync_teachers_trigger","AFTER","UPDATE"
"classes","validate_class_data_trigger","BEFORE","INSERT"
"classes","validate_class_data_trigger","BEFORE","UPDATE"
"subjects","simple_sync_class_on_subject_change","AFTER","INSERT"
"subjects","simple_sync_class_on_subject_change","AFTER","DELETE"
"subjects","simple_sync_class_on_subject_change","AFTER","UPDATE"
"subjects","sync_classes_on_subject_delete","AFTER","DELETE"
"subjects","sync_classes_on_subject_insert","AFTER","INSERT"
"subjects","sync_classes_on_subject_update","AFTER","UPDATE"
"subjects","update_class_subjects_trigger","AFTER","INSERT"
"subjects","validate_subject_data_trigger","BEFORE","INSERT"
"subjects","validate_subject_data_trigger","BEFORE","UPDATE"
"students","student_email_insert_trigger","BEFORE","INSERT"
"students","student_email_update_trigger","BEFORE","UPDATE"
"students","trigger_sync_students_to_registered","AFTER","INSERT"
"registered_students","trigger_refresh_verified_students","AFTER","INSERT"
"registered_students","trigger_refresh_verified_students","AFTER","DELETE"
"registered_students","trigger_refresh_verified_students","AFTER","UPDATE"
